epoch,loss,image_size,batch_size,timesteps,time_emb_dim,learning_rate
1,0.06341552734375,64,256,2000,256,0.0002
2,0.0557861328125,64,256,2000,256,0.0002
3,0.03656005859375,64,256,2000,256,0.0002
4,0.0156402587890625,64,256,2000,256,0.0002
5,0.045440673828125,64,256,2000,256,0.0002
6,0.025360107421875,64,256,2000,256,0.0002
7,0.0286712646484375,64,256,2000,256,0.0002
8,0.0187835693359375,64,256,2000,256,0.0002
9,0.0142822265625,64,256,2000,256,0.0002
10,0.02081298828125,64,256,2000,256,0.0002
11,0.037261962890625,64,256,2000,256,0.0002
12,0.0191802978515625,64,256,2000,256,0.0002
13,0.02899169921875,64,256,2000,256,0.0002
14,0.008758544921875,64,256,2000,256,0.0002
15,0.023101806640625,64,256,2000,256,0.0002
16,0.0125961303710937,64,256,2000,256,0.0002
17,0.039459228515625,64,256,2000,256,0.0002
18,0.0129165649414062,64,256,2000,256,0.0002
19,0.0138168334960937,64,256,2000,256,0.0002
20,0.012939453125,64,256,2000,256,0.0002
21,0.028900146484375,64,256,2000,256,0.0002
22,0.0261688232421875,64,256,2000,256,0.0002
23,0.0131607055664062,64,256,2000,256,0.0002
24,0.027587890625,64,256,2000,256,0.0002
25,0.0058059692382812,64,256,2000,256,0.0002
26,0.019317626953125,64,256,2000,256,0.0002
27,0.0308685302734375,64,256,2000,256,0.0002
28,0.009735107421875,64,256,2000,256,0.0002
29,0.03759765625,64,256,2000,256,0.0002
30,0.0147552490234375,64,256,2000,256,0.0002
31,0.024017333984375,64,256,2000,256,0.0002
32,0.0310516357421875,64,256,2000,256,0.0002
33,0.019805908203125,64,256,2000,256,0.0002
34,0.02923583984375,64,256,2000,256,0.0002
35,0.03594970703125,64,256,2000,256,0.0002
36,0.0095748901367187,64,256,2000,256,0.0002
37,0.0203857421875,64,256,2000,256,0.0002
38,0.01641845703125,64,256,2000,256,0.0002
39,0.019744873046875,64,256,2000,256,0.0002
40,0.0148162841796875,64,256,2000,256,0.0002
41,0.0162200927734375,64,256,2000,256,0.0002
42,0.02996826171875,64,256,2000,256,0.0002
43,0.03076171875,64,256,2000,256,0.0002
44,0.0070762634277343,64,256,2000,256,0.0002
45,0.0137252807617187,64,256,2000,256,0.0002
46,0.013916015625,64,256,2000,256,0.0002
47,0.03887939453125,64,256,2000,256,0.0002
48,0.0136032104492187,64,256,2000,256,0.0002
49,0.02081298828125,64,256,2000,256,0.0002
50,0.0171966552734375,64,256,2000,256,0.0002
51,0.0096588134765625,64,256,2000,256,0.0002
52,0.0145339965820312,64,256,2000,256,0.0002
53,0.021514892578125,64,256,2000,256,0.0002
54,0.00836181640625,64,256,2000,256,0.0002
55,0.033721923828125,64,256,2000,256,0.0002
56,0.02587890625,64,256,2000,256,0.0002
57,0.0149078369140625,64,256,2000,256,0.0002
58,0.0147247314453125,64,256,2000,256,0.0002
59,0.01605224609375,64,256,2000,256,0.0002
60,0.0208282470703125,64,256,2000,256,0.0002
61,0.0086441040039062,64,256,2000,256,0.0002
62,0.0102615356445312,64,256,2000,256,0.0002
63,0.009918212890625,64,256,2000,256,0.0002
64,0.0138778686523437,64,256,2000,256,0.0002
65,0.0219268798828125,64,256,2000,256,0.0002
66,0.0103530883789062,64,256,2000,256,0.0002
